-4,401.089,2,1,2
-2,229.89,3,2,4
4,35.5,1,3,0
5,-253.77,4,4,4
-4.2,324.56,5,1,1
2,444.9,6,3,2
1,314.6,7,4,7
4,220.8,3,2,0
0,21.4,3,0,3
-6,44.2,1,4,5
-8,23.5,7,1,0
-2,45.1,2,5,3
1,111,2,0,3
9,342,3,7,0
-8,3813.9,4,3,6
-3,-40.089,1,2,0
2,1129.89,5,8,4
3,35.5,6,7,1
4,23.77,5,6,0
5,24.56,3,5,2
6,44.9,1,4,3
7,34.6,7,6,4
9,22.8,2,7,0
-4,21.4,2,5,0
-2,44.2,3,6,3
4,23.5,4,0,2
5,45.1,1,3,1
0,11,5,2,4
2,32,2,8,6
1,33.9,3,7,1
4,21.4,1,0,2
0,44.2,4,5,3
-6,23.5,5,4,4
-8,45.1,6,6,5
-2,11,7,7,6
1,32,5,1,7
9,33.9,3,2,6
-8,40.089,1,3,4
-3,29.89,1,4,2
2,35.5,5,1,3
3,23.77,2,3,6
4,24.56,3,4,1
5,44.9,1,2,2
6,34.6,4,3,3
7,44.9,5,4,4
9,50,6,1,5
